S_no,Year,Month,Day,Date,WD,Hour,Minute_30,Place1,Place2,Ventilation1,Ventilation2,Activity1,Activity2,AP1,AP2,AP3,Sensor
LA002,2018,10,29,7,NA,15,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,29,7,NA,15,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,29,7,NA,16,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,29,7,NA,16,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,29,7,NA,17,1,16,0,9,0,2,0,5,0,0,1
LA002,2018,10,29,7,NA,17,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,29,7,NA,18,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,29,7,NA,18,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,29,7,NA,19,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,29,7,NA,19,2,16,0,9,0,2,0,2,5,0,1
LA002,2018,10,29,7,NA,20,1,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,29,7,NA,20,2,7,0,3,0,3,0,0,0,0,1
LA002,2018,10,29,7,NA,21,1,16,0,9,0,2,0,5,0,0,1
LA002,2018,10,29,7,NA,21,2,13,0,3,0,2,0,0,0,0,1
LA002,2018,10,29,7,NA,22,1,16,0,9,0,2,0,65,0,0,1
LA002,2018,10,29,7,NA,22,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,29,7,NA,23,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,29,7,NA,23,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,0,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,0,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,1,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,1,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,2,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,2,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,3,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,3,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,4,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,4,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,5,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,5,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,6,1,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,6,2,1,0,3,0,9,0,0,0,0,1
LA002,2018,10,30,8,0,7,1,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,30,8,0,7,2,1,0,3,0,11,0,5,0,0,1
LA002,2018,10,30,8,0,8,1,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,30,8,0,8,2,1,0,3,0,11,0,0,0,0,1
LA002,2018,10,30,8,0,9,1,16,0,9,0,2,0,65,0,0,1
LA002,2018,10,30,8,0,9,2,13,0,4,0,2,0,65,0,0,1
LA002,2018,10,30,8,0,10,1,12,0,4,0,2,0,65,0,0,1
LA002,2018,10,30,8,0,10,2,16,0,9,0,2,0,1,2,0,1
LA002,2018,10,30,8,0,11,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,30,8,0,11,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,30,8,0,12,1,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,30,8,0,12,2,7,0,3,0,3,0,65,0,0,1
LA002,2018,10,30,8,0,13,1,7,0,3,0,3,0,1,0,0,1
LA002,2018,10,30,8,0,13,2,16,0,9,0,2,0,3,0,0,1
LA002,2018,10,30,8,0,14,1,16,0,9,0,2,0,5,0,0,1
LA002,2018,10,30,8,0,14,2,16,0,9,0,2,0,2,0,0,1
LA002,2018,10,30,8,0,15,1,4,0,4,0,8,0,2,0,0,1
LA002,2018,10,30,8,0,15,2,16,0,9,0,2,0,1,0,0,1
