mins 350 , noise_error =0.826530612244898, delte = 0.16326530612244894
mins 351 , noise_error =0.9494949494949495, delte = 0.0505050505050505
mins 352 , noise_error =0.9278350515463918, delte = 0.07216494845360821
mins 353 , noise_error =0.9583333333333334, delte = 0.04166666666666663
mins 354 , noise_error =0.9791666666666666, delte = 0.02083333333333337
mins 355 , noise_error =0.98989898989899, delte = 0.010101010101010055
mins 356 , noise_error =0.9444444444444444, delte = 0.03703703703703709
mins 357 , noise_error =0.9557522123893806, delte = 0.02654867256637161
mins 358 , noise_error =0.8928571428571429, delte = 0.1071428571428571
mins 359 , noise_error =0.9716981132075472, delte = 0.028301886792452824
mins 360 , noise_error =0.8446601941747574, delte = 0.15533980582524265
mins 361 , noise_error =0.8380952380952381, delte = 0.16190476190476188
mins 362 , noise_error =0.9134615384615384, delte = 0.08653846153846156
mins 363 , noise_error =0.970873786407767, delte = 0.029126213592232997
mins 364 , noise_error =0.926605504587156, delte = 0.06422018348623859
mins 365 , noise_error =0.8677685950413223, delte = 0.12396694214876036
mins 366 , noise_error =0.9642857142857143, delte = 0.0357142857142857
mins 367 , noise_error =0.8666666666666667, delte = 0.11428571428571421
mins 368 , noise_error =0.9626168224299065, delte = 0.03738317757009346
mins 369 , noise_error =0.8571428571428572, delte = 0.1428571428571428
mins 370 , noise_error =0.9795918367346939, delte = 0.020408163265306145
mins 371 , noise_error =0.8282828282828283, delte = 0.1717171717171717
mins 372 , noise_error =0.8181818181818181, delte = 0.18181818181818188
mins 373 , noise_error =0.96, delte = 0.040000000000000036
mins 374 , noise_error =0.99, delte = 0.010000000000000009
mins 375 , noise_error =0.96, delte = 0.040000000000000036
mins 376 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 377 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 378 , noise_error =0.9795918367346939, delte = 0.020408163265306145
mins 379 , noise_error =0.9603960396039604, delte = 0.03960396039603964
mins 380 , noise_error =0.8952380952380953, delte = 0.10476190476190472
mins 381 , noise_error =0.9716981132075472, delte = 0.028301886792452824
mins 382 , noise_error =1.0, delte = 0.0
mins 383 , noise_error =0.9607843137254902, delte = 0.039215686274509776
mins 384 , noise_error =0.970873786407767, delte = 0.029126213592232997
mins 385 , noise_error =0.9705882352941176, delte = 0.02941176470588236
mins 386 , noise_error =0.9805825242718447, delte = 0.0
mins 387 , noise_error =0.9259259259259259, delte = 0.03703703703703709
mins 388 , noise_error =0.9722222222222222, delte = 0.01851851851851849
mins 389 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 390 , noise_error =0.8571428571428572, delte = 0.11607142857142849
mins 391 , noise_error =0.944954128440367, delte = 0.03669724770642202
mins 392 , noise_error =0.9351851851851852, delte = 0.04629629629629628
mins 393 , noise_error =0.9901960784313726, delte = 0.009803921568627416
mins 394 , noise_error =0.8725490196078431, delte = 0.0980392156862745
mins 395 , noise_error =0.9519230769230769, delte = 0.04807692307692313
mins 396 , noise_error =0.8272727272727273, delte = 0.15454545454545454
mins 397 , noise_error =1.0, delte = 0.0
mins 398 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 399 , noise_error =0.9896907216494846, delte = 0.0
mins 400 , noise_error =0.96, delte = 0.040000000000000036
mins 401 , noise_error =0.9901960784313726, delte = 0.009803921568627416
mins 402 , noise_error =0.9189189189189189, delte = 0.03603603603603611
mins 403 , noise_error =0.9459459459459459, delte = 0.036036036036036
mins 404 , noise_error =0.9904761904761905, delte = 0.00952380952380949
mins 405 , noise_error =0.892156862745098, delte = 0.10784313725490202
mins 406 , noise_error =0.9702970297029703, delte = 0.02970297029702973
mins 407 , noise_error =0.9595959595959596, delte = 0.04040404040404044
mins 408 , noise_error =0.8349514563106796, delte = 0.15533980582524276
mins 409 , noise_error =0.9411764705882353, delte = 0.02941176470588236
mins 410 , noise_error =0.8301886792452831, delte = 0.160377358490566
mins 411 , noise_error =0.9622641509433962, delte = 0.037735849056603765
mins 412 , noise_error =0.9902912621359223, delte = 0.0
mins 413 , noise_error =0.9615384615384616, delte = 0.038461538461538436
mins 414 , noise_error =0.9380530973451328, delte = 0.02654867256637161
mins 415 , noise_error =0.9375, delte = 0.0267857142857143
mins 416 , noise_error =0.8198198198198199, delte = 0.14414414414414412
mins 417 , noise_error =0.8163265306122449, delte = 0.1428571428571428
mins 418 , noise_error =0.86, delte = 0.13
mins 419 , noise_error =0.9326923076923077, delte = 0.028846153846153855
mins 420 , noise_error =0.9902912621359223, delte = 0.009708737864077666
mins 421 , noise_error =0.9603960396039604, delte = 0.03960396039603964
mins 422 , noise_error =0.9696969696969697, delte = 0.030303030303030276
mins 423 , noise_error =0.8712871287128713, delte = 0.12871287128712872
mins 424 , noise_error =0.8200000000000001, delte = 0.15999999999999992
mins 425 , noise_error =0.9428571428571428, delte = 0.0
mins 426 , noise_error =0.9696969696969697, delte = 0.030303030303030276
mins 427 , noise_error =0.9900990099009901, delte = 0.0
mins 428 , noise_error =0.9716981132075472, delte = 0.028301886792452824
mins 429 , noise_error =0.9411764705882353, delte = 0.039215686274509776
mins 430 , noise_error =0.97, delte = 0.030000000000000027
mins 431 , noise_error =0.8640776699029127, delte = 0.13592233009708732
mins 432 , noise_error =0.9423076923076923, delte = 0.038461538461538436
mins 433 , noise_error =0.9238095238095239, delte = 0.02857142857142847
mins 434 , noise_error =0.963963963963964, delte = 0.027027027027026973
mins 435 , noise_error =0.9196428571428571, delte = 0.0267857142857143
