mins 521 , noise_error =1.0
mins 522 , noise_error =1.0
mins 523 , noise_error =0.9758064516129032
mins 524 , noise_error =0.9435483870967742
mins 525 , noise_error =1.0
mins 526 , noise_error =0.991304347826087
mins 527 , noise_error =0.9915966386554622
mins 528 , noise_error =0.9915254237288136
mins 529 , noise_error =0.9829059829059829
mins 530 , noise_error =1.0
mins 531 , noise_error =0.9338842975206612
mins 532 , noise_error =0.8709677419354839
mins 533 , noise_error =1.0
mins 534 , noise_error =0.9416666666666667
mins 535 , noise_error =0.8951612903225806
mins 536 , noise_error =0.9752066115702479
mins 537 , noise_error =0.7642276422764227
mins 538 , noise_error =0.7258064516129032
mins 539 , noise_error =0.9836065573770492
mins 540 , noise_error =0.9741379310344828
mins 541 , noise_error =0.9416666666666667
mins 542 , noise_error =1.0
mins 543 , noise_error =1.0
mins 544 , noise_error =0.9830508474576272
mins 545 , noise_error =1.0
mins 546 , noise_error =0.9827586206896551
mins 547 , noise_error =0.9834710743801653
mins 548 , noise_error =0.9745762711864406
mins 549 , noise_error =1.0
mins 550 , noise_error =0.9831932773109243
mins 551 , noise_error =1.0
mins 552 , noise_error =0.9826086956521739
mins 553 , noise_error =1.0
mins 554 , noise_error =1.0
mins 555 , noise_error =1.0
mins 556 , noise_error =1.0
mins 557 , noise_error =0.9401709401709402
mins 558 , noise_error =0.8347107438016529
mins 559 , noise_error =0.875
mins 560 , noise_error =0.7478991596638656
mins 561 , noise_error =0.8974358974358975
mins 562 , noise_error =0.8974358974358975
mins 563 , noise_error =0.9230769230769231
mins 564 , noise_error =0.9831932773109243
mins 565 , noise_error =0.859504132231405
mins 566 , noise_error =0.8536585365853658
mins 567 , noise_error =0.9516129032258065
mins 568 , noise_error =0.8333333333333334
mins 569 , noise_error =0.685483870967742
mins 570 , noise_error =0.6639344262295082
mins 571 , noise_error =0.7131782945736433
mins 572 , noise_error =0.7165354330708662
mins 573 , noise_error =0.8267716535433071
mins 574 , noise_error =0.9126984126984127
mins 575 , noise_error =0.9516129032258065
mins 576 , noise_error =0.8740157480314961
mins 577 , noise_error =0.8854961832061069
mins 578 , noise_error =0.967479674796748
mins 579 , noise_error =0.9583333333333334
mins 580 , noise_error =0.9508196721311475
mins 581 , noise_error =0.8861788617886179
mins 582 , noise_error =0.9747899159663865
mins 583 , noise_error =0.9826086956521739
mins 584 , noise_error =0.9565217391304348
mins 585 , noise_error =0.907563025210084
mins 586 , noise_error =0.943089430894309
mins 587 , noise_error =0.8852459016393442
mins 588 , noise_error =0.7983870967741935
mins 589 , noise_error =0.8387096774193549
mins 590 , noise_error =0.7627118644067796
mins 591 , noise_error =0.8813559322033898
mins 592 , noise_error =0.9090909090909091
mins 593 , noise_error =0.7419354838709677
mins 594 , noise_error =0.6910569105691057
mins 595 , noise_error =0.6991869918699187
mins 596 , noise_error =0.7950819672131147
mins 597 , noise_error =0.8188976377952756
mins 598 , noise_error =0.9562043795620438
mins 599 , noise_error =0.962962962962963
mins 600 , noise_error =0.9523809523809523
mins 601 , noise_error =0.9692307692307692
mins 602 , noise_error =0.9548872180451128
mins 603 , noise_error =0.889763779527559
mins 604 , noise_error =0.8861788617886179
mins 605 , noise_error =0.8615384615384616
mins 606 , noise_error =1.0
mins 607 , noise_error =1.0
mins 608 , noise_error =1.0
mins 609 , noise_error =0.959349593495935
mins 610 , noise_error =0.9206349206349207
mins 611 , noise_error =0.9202898550724637
mins 612 , noise_error =0.9224806201550387
mins 613 , noise_error =0.9465648854961832
mins 614 , noise_error =0.890625
mins 615 , noise_error =0.9821428571428571
mins 616 , noise_error =0.9823008849557522
mins 617 , noise_error =0.9818181818181818
mins 618 , noise_error =1.0
mins 619 , noise_error =1.0
mins 620 , noise_error =0.9469026548672567
mins 621 , noise_error =0.9652173913043478
mins 622 , noise_error =1.0
mins 623 , noise_error =0.991869918699187
mins 624 , noise_error =1.0
mins 625 , noise_error =0.9576271186440678
mins 626 , noise_error =0.9834710743801653
mins 627 , noise_error =1.0
mins 628 , noise_error =0.9682539682539683
mins 629 , noise_error =0.9618320610687023
mins 630 , noise_error =1.0
mins 631 , noise_error =0.96
mins 632 , noise_error =0.9919354838709677
mins 633 , noise_error =0.9761904761904762
mins 634 , noise_error =0.952
mins 635 , noise_error =0.9572649572649573
mins 636 , noise_error =1.0
mins 637 , noise_error =1.0
mins 638 , noise_error =0.9212598425196851
mins 639 , noise_error =1.0
mins 640 , noise_error =1.0
mins 641 , noise_error =0.8333333333333334
mins 642 , noise_error =0.8394160583941606
mins 643 , noise_error =0.8896551724137931
mins 644 , noise_error =0.8111888111888113
