mins 271 , noise_error =0.9318181818181819, delte = 0.05681818181818177
mins 272 , noise_error =0.9777777777777777, delte = 0.022222222222222254
mins 273 , noise_error =0.8068181818181819, delte = 0.19318181818181812
mins 274 , noise_error =0.898876404494382, delte = 0.101123595505618
mins 275 , noise_error =0.9444444444444444, delte = 0.05555555555555558
mins 276 , noise_error =0.875, delte = 0.125
mins 277 , noise_error =0.9340659340659341, delte = 0.06593406593406592
mins 278 , noise_error =0.9560439560439561, delte = 0.04395604395604391
mins 279 , noise_error =0.9032258064516129, delte = 0.043010752688172116
mins 280 , noise_error =0.8787878787878788, delte = 0.030303030303030276
mins 281 , noise_error =0.90625, delte = 0.09375
mins 282 , noise_error =0.9578947368421052, delte = 0.04210526315789476
mins 283 , noise_error =0.9574468085106383, delte = 0.04255319148936165
mins 284 , noise_error =0.9775280898876404, delte = 0.022471910112359605
mins 285 , noise_error =0.7888888888888889, delte = 0.21111111111111114
mins 286 , noise_error =0.8279569892473118, delte = 0.17204301075268824
mins 287 , noise_error =0.8695652173913043, delte = 0.13043478260869568
mins 288 , noise_error =0.9565217391304348, delte = 0.04347826086956519
mins 289 , noise_error =0.898876404494382, delte = 0.0674157303370787
mins 290 , noise_error =0.9529411764705882, delte = 0.04705882352941182
mins 291 , noise_error =0.8048780487804879, delte = 0.18292682926829262
mins 292 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 293 , noise_error =0.927710843373494, delte = 0.07228915662650603
mins 294 , noise_error =0.9425287356321839, delte = 0.04597701149425293
mins 295 , noise_error =0.9550561797752809, delte = 0.0449438202247191
mins 296 , noise_error =0.7976190476190477, delte = 0.20238095238095233
mins 297 , noise_error =0.9487179487179487, delte = 0.05128205128205132
mins 298 , noise_error =0.9493670886075949, delte = 0.05063291139240511
mins 299 , noise_error =0.948051948051948, delte = 0.051948051948051965
mins 300 , noise_error =0.9736842105263158, delte = 0.02631578947368418
mins 301 , noise_error =0.9459459459459459, delte = 0.05405405405405406
mins 302 , noise_error =0.9459459459459459, delte = 0.05405405405405406
mins 303 , noise_error =0.7837837837837838, delte = 0.21621621621621623
mins 304 , noise_error =0.9589041095890412, delte = 0.041095890410958846
mins 305 , noise_error =0.9459459459459459, delte = 0.05405405405405406
mins 306 , noise_error =0.9473684210526316, delte = 0.05263157894736836
mins 307 , noise_error =0.7866666666666666, delte = 0.20000000000000007
mins 308 , noise_error =0.9589041095890412, delte = 0.041095890410958846
mins 309 , noise_error =0.9305555555555556, delte = 0.06944444444444442
mins 310 , noise_error =0.9178082191780822, delte = 0.0547945205479452
mins 311 , noise_error =0.9154929577464789, delte = 0.08450704225352113
mins 312 , noise_error =0.9444444444444444, delte = 0.05555555555555558
mins 313 , noise_error =0.7466666666666666, delte = 0.2400000000000001
mins 314 , noise_error =0.9459459459459459, delte = 0.05405405405405406
mins 315 , noise_error =0.9305555555555556, delte = 0.06944444444444442
mins 316 , noise_error =0.7837837837837838, delte = 0.21621621621621623
mins 317 , noise_error =0.9189189189189189, delte = 0.08108108108108114
mins 318 , noise_error =0.92, delte = 0.07999999999999996
mins 319 , noise_error =0.9594594594594594, delte = 0.04054054054054057
mins 320 , noise_error =0.7894736842105263, delte = 0.21052631578947367
mins 321 , noise_error =0.775, delte = 0.1875
mins 322 , noise_error =0.7831325301204819, delte = 0.2168674698795181
mins 323 , noise_error =0.9555555555555556, delte = 0.0444444444444444
mins 324 , noise_error =0.9318181818181819, delte = 0.06818181818181812
mins 325 , noise_error =0.7857142857142857, delte = 0.20238095238095244
mins 326 , noise_error =0.9310344827586207, delte = 0.034482758620689724
mins 327 , noise_error =0.9166666666666666, delte = 0.059523809523809534
mins 328 , noise_error =0.925, delte = 0.07499999999999996
mins 329 , noise_error =0.948051948051948, delte = 0.051948051948051965
mins 330 , noise_error =0.8205128205128205, delte = 0.17948717948717952
mins 331 , noise_error =0.9620253164556962, delte = 0.03797468354430378
mins 332 , noise_error =0.9135802469135803, delte = 0.08641975308641969
mins 333 , noise_error =0.9512195121951219, delte = 0.04878048780487809
mins 334 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 335 , noise_error =0.9518072289156626, delte = 0.048192771084337394
mins 336 , noise_error =0.9512195121951219, delte = 0.04878048780487809
mins 337 , noise_error =0.9512195121951219, delte = 0.04878048780487809
mins 338 , noise_error =0.9375, delte = 0.0625
mins 339 , noise_error =0.8, delte = 0.19999999999999996
mins 340 , noise_error =0.9367088607594937, delte = 0.06329113924050633
mins 341 , noise_error =0.9024390243902439, delte = 0.09756097560975607
mins 342 , noise_error =0.8795180722891567, delte = 0.07228915662650592
mins 343 , noise_error =0.6962025316455696, delte = 0.30379746835443044
mins 344 , noise_error =0.9324324324324325, delte = 0.06756756756756754
mins 345 , noise_error =0.9473684210526316, delte = 0.05263157894736836
mins 346 , noise_error =0.76, delte = 0.22666666666666668
mins 347 , noise_error =0.9459459459459459, delte = 0.05405405405405406
mins 348 , noise_error =0.8918918918918919, delte = 0.08108108108108114
mins 349 , noise_error =0.948051948051948, delte = 0.051948051948051965
mins 350 , noise_error =0.9036144578313253, delte = 0.07228915662650603
mins 351 , noise_error =0.9493670886075949, delte = 0.05063291139240511
mins 352 , noise_error =0.9259259259259259, delte = 0.07407407407407407
mins 353 , noise_error =0.8313253012048193, delte = 0.1686746987951807
mins 354 , noise_error =0.9310344827586207, delte = 0.06896551724137934
mins 355 , noise_error =0.9342105263157895, delte = 0.03947368421052633
mins 356 , noise_error =0.9210526315789473, delte = 0.07894736842105265
mins 357 , noise_error =0.9382716049382716, delte = 0.04938271604938271
mins 358 , noise_error =0.925, delte = 0.07499999999999996
mins 359 , noise_error =0.810126582278481, delte = 0.189873417721519
mins 360 , noise_error =0.8026315789473684, delte = 0.19736842105263164
mins 361 , noise_error =0.948051948051948, delte = 0.051948051948051965
mins 362 , noise_error =0.8, delte = 0.19999999999999996
mins 363 , noise_error =0.7906976744186046, delte = 0.17441860465116288
mins 364 , noise_error =0.8913043478260869, delte = 0.0652173913043479
mins 365 , noise_error =0.8172043010752688, delte = 0.12903225806451624
mins 366 , noise_error =0.9540229885057472, delte = 0.04597701149425282
mins 367 , noise_error =0.9775280898876404, delte = 0.022471910112359605
mins 368 , noise_error =0.7578947368421053, delte = 0.19999999999999996
mins 369 , noise_error =0.9387755102040817, delte = 0.04081632653061218
mins 370 , noise_error =0.9381443298969072, delte = 0.061855670103092786
mins 371 , noise_error =0.9519230769230769, delte = 0.04807692307692313
mins 372 , noise_error =0.7980769230769231, delte = 0.1826923076923076
mins 373 , noise_error =0.9619047619047619, delte = 0.03809523809523807
mins 374 , noise_error =0.8857142857142857, delte = 0.09523809523809523
mins 375 , noise_error =0.96875, delte = 0.0234375
mins 376 , noise_error =0.9285714285714286, delte = 0.05555555555555558
mins 377 , noise_error =0.86, delte = 0.09999999999999998
mins 378 , noise_error =0.9425287356321839, delte = 0.05747126436781613
mins 379 , noise_error =0.9878048780487805, delte = 0.012195121951219523
mins 380 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 381 , noise_error =0.9578947368421052, delte = 0.04210526315789476
mins 382 , noise_error =0.875, delte = 0.125
mins 383 , noise_error =0.9506172839506173, delte = 0.024691358024691357
mins 384 , noise_error =0.7837837837837838, delte = 0.20270270270270274
mins 385 , noise_error =0.9466666666666667, delte = 0.053333333333333344
mins 386 , noise_error =0.922077922077922, delte = 0.07792207792207795
mins 387 , noise_error =0.9736842105263158, delte = 0.02631578947368418
mins 388 , noise_error =0.7894736842105263, delte = 0.21052631578947367
mins 389 , noise_error =0.9390243902439024, delte = 0.04878048780487809
mins 390 , noise_error =0.9036144578313253, delte = 0.07228915662650603
mins 391 , noise_error =0.8791208791208791, delte = 0.09890109890109888
mins 392 , noise_error =0.9333333333333333, delte = 0.06666666666666665
mins 393 , noise_error =0.9545454545454546, delte = 0.045454545454545414
mins 394 , noise_error =0.9072164948453608, delte = 0.09278350515463918
mins 395 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 396 , noise_error =0.9381443298969072, delte = 0.061855670103092786
mins 397 , noise_error =0.9591836734693877, delte = 0.04081632653061229
mins 398 , noise_error =0.9895833333333334, delte = 0.01041666666666663
mins 399 , noise_error =0.9555555555555556, delte = 0.0444444444444444
mins 400 , noise_error =0.8586956521739131, delte = 0.14130434782608692
mins 401 , noise_error =0.968421052631579, delte = 0.03157894736842104
mins 402 , noise_error =0.9381443298969072, delte = 0.04123711340206182
mins 403 , noise_error =0.9574468085106383, delte = 0.04255319148936165
mins 404 , noise_error =0.9555555555555556, delte = 0.0444444444444444
mins 405 , noise_error =0.9540229885057472, delte = 0.04597701149425282
mins 406 , noise_error =0.9882352941176471, delte = 0.0117647058823529
mins 407 , noise_error =0.9397590361445783, delte = 0.06024096385542166
mins 408 , noise_error =0.9523809523809523, delte = 0.04761904761904767
mins 409 , noise_error =0.9529411764705882, delte = 0.04705882352941182
mins 410 , noise_error =0.9883720930232558, delte = 0.011627906976744207
mins 411 , noise_error =0.9012345679012346, delte = 0.09876543209876543
mins 412 , noise_error =0.9310344827586207, delte = 0.04597701149425293
mins 413 , noise_error =0.9318181818181819, delte = 0.06818181818181812
mins 414 , noise_error =0.9493670886075949, delte = 0.05063291139240511
mins 415 , noise_error =0.9466666666666667, delte = 0.053333333333333344
mins 416 , noise_error =0.9459459459459459, delte = 0.05405405405405406
mins 417 , noise_error =0.7702702702702703, delte = 0.20270270270270274
mins 418 , noise_error =0.8513513513513513, delte = 0.14864864864864868
mins 419 , noise_error =0.9166666666666666, delte = 0.08333333333333337
mins 420 , noise_error =0.9444444444444444, delte = 0.05555555555555558
mins 421 , noise_error =0.9444444444444444, delte = 0.05555555555555558
mins 422 , noise_error =0.7464788732394366, delte = 0.2535211267605634
mins 423 , noise_error =0.9436619718309859, delte = 0.05633802816901412
mins 424 , noise_error =0.9459459459459459, delte = 0.05405405405405406
mins 425 , noise_error =0.8055555555555556, delte = 0.19444444444444442
mins 426 , noise_error =0.971830985915493, delte = 0.028169014084507005
mins 427 , noise_error =0.9142857142857143, delte = 0.08571428571428574
mins 428 , noise_error =0.9436619718309859, delte = 0.05633802816901412
mins 429 , noise_error =0.9178082191780822, delte = 0.0547945205479452
mins 430 , noise_error =0.9571428571428572, delte = 0.042857142857142816
