mins 411 , noise_error =1.0
mins 412 , noise_error =0.9924242424242424
mins 413 , noise_error =1.0
mins 414 , noise_error =1.0
mins 415 , noise_error =1.0
mins 416 , noise_error =1.0
mins 417 , noise_error =1.0
mins 418 , noise_error =1.0
mins 419 , noise_error =1.0
mins 420 , noise_error =1.0
mins 421 , noise_error =0.9923664122137404
mins 422 , noise_error =1.0
mins 423 , noise_error =0.984251968503937
mins 424 , noise_error =1.0
mins 425 , noise_error =1.0
mins 426 , noise_error =1.0
mins 427 , noise_error =1.0
mins 428 , noise_error =1.0
mins 429 , noise_error =1.0
mins 430 , noise_error =0.9767441860465116
mins 431 , noise_error =1.0
mins 432 , noise_error =1.0
mins 433 , noise_error =1.0
mins 434 , noise_error =1.0
mins 435 , noise_error =0.9844961240310077
mins 436 , noise_error =0.9921259842519685
mins 437 , noise_error =1.0
mins 438 , noise_error =1.0
mins 439 , noise_error =1.0
mins 440 , noise_error =1.0
mins 441 , noise_error =1.0
mins 442 , noise_error =1.0
mins 443 , noise_error =1.0
mins 444 , noise_error =1.0
mins 445 , noise_error =1.0
mins 446 , noise_error =0.984375
mins 447 , noise_error =1.0
mins 448 , noise_error =1.0
mins 449 , noise_error =1.0
mins 450 , noise_error =0.984
mins 451 , noise_error =1.0
mins 452 , noise_error =1.0
mins 453 , noise_error =0.992
mins 454 , noise_error =0.9694656488549618
mins 455 , noise_error =0.9694656488549618
mins 456 , noise_error =0.9849624060150376
mins 457 , noise_error =0.9803921568627451
mins 458 , noise_error =0.9741935483870968
mins 459 , noise_error =0.9507042253521126
mins 460 , noise_error =0.962962962962963
mins 461 , noise_error =0.9788732394366197
mins 462 , noise_error =0.9848484848484849
mins 463 , noise_error =0.9848484848484849
mins 464 , noise_error =0.9694656488549618
mins 465 , noise_error =0.9924242424242424
mins 466 , noise_error =1.0
mins 467 , noise_error =0.9929078014184397
mins 468 , noise_error =1.0
mins 469 , noise_error =1.0
mins 470 , noise_error =0.9924242424242424
mins 471 , noise_error =0.9925373134328358
mins 472 , noise_error =1.0
mins 473 , noise_error =1.0
mins 474 , noise_error =1.0
mins 475 , noise_error =1.0
mins 476 , noise_error =1.0
mins 477 , noise_error =1.0
mins 478 , noise_error =0.9849624060150376
mins 479 , noise_error =1.0
mins 480 , noise_error =0.9921259842519685
mins 481 , noise_error =0.983739837398374
mins 482 , noise_error =1.0
mins 483 , noise_error =1.0
mins 484 , noise_error =1.0
mins 485 , noise_error =0.9710144927536232
mins 486 , noise_error =0.9791666666666666
mins 487 , noise_error =1.0
mins 488 , noise_error =1.0
mins 489 , noise_error =0.9782608695652174
mins 490 , noise_error =0.993006993006993
mins 491 , noise_error =1.0
mins 492 , noise_error =0.9533333333333334
mins 493 , noise_error =0.9858156028368794
mins 494 , noise_error =0.9921259842519685
mins 495 , noise_error =1.0
mins 496 , noise_error =1.0
mins 497 , noise_error =0.9848484848484849
mins 498 , noise_error =0.9752066115702479
mins 499 , noise_error =1.0
mins 500 , noise_error =1.0
mins 501 , noise_error =1.0
mins 502 , noise_error =1.0
mins 503 , noise_error =1.0
mins 504 , noise_error =1.0
mins 505 , noise_error =1.0
mins 506 , noise_error =0.9916666666666667
mins 507 , noise_error =1.0
mins 508 , noise_error =1.0
mins 509 , noise_error =1.0
mins 510 , noise_error =1.0
mins 511 , noise_error =1.0
mins 512 , noise_error =1.0
mins 513 , noise_error =1.0
mins 514 , noise_error =0.9754098360655737
mins 515 , noise_error =1.0
mins 516 , noise_error =1.0
mins 517 , noise_error =1.0
mins 518 , noise_error =1.0
mins 519 , noise_error =1.0
mins 520 , noise_error =1.0
mins 521 , noise_error =0.9847328244274809
mins 522 , noise_error =1.0
mins 523 , noise_error =1.0
mins 524 , noise_error =1.0
mins 525 , noise_error =1.0
mins 526 , noise_error =1.0
mins 527 , noise_error =0.9921259842519685
mins 528 , noise_error =0.992
mins 529 , noise_error =1.0
mins 530 , noise_error =1.0
mins 531 , noise_error =0.9923076923076923
mins 532 , noise_error =1.0
mins 533 , noise_error =0.9921875
mins 534 , noise_error =1.0
mins 535 , noise_error =1.0
mins 536 , noise_error =1.0
mins 537 , noise_error =1.0
mins 538 , noise_error =1.0
mins 539 , noise_error =1.0
mins 540 , noise_error =1.0
mins 541 , noise_error =0.9919354838709677
mins 542 , noise_error =0.8828125
mins 543 , noise_error =0.9772727272727273
mins 544 , noise_error =1.0
mins 545 , noise_error =0.9868421052631579
mins 546 , noise_error =1.0
mins 547 , noise_error =0.9802631578947368
mins 548 , noise_error =1.0
mins 549 , noise_error =0.9805194805194806
mins 550 , noise_error =0.9793103448275862
mins 551 , noise_error =0.9866666666666667
mins 552 , noise_error =0.96
mins 553 , noise_error =0.9933774834437086
mins 554 , noise_error =0.9387755102040817
mins 555 , noise_error =1.0
mins 556 , noise_error =1.0
mins 557 , noise_error =1.0
mins 558 , noise_error =0.9765625
mins 559 , noise_error =0.9924242424242424
mins 560 , noise_error =1.0
mins 561 , noise_error =0.975609756097561
mins 562 , noise_error =1.0
mins 563 , noise_error =1.0
mins 564 , noise_error =1.0
mins 565 , noise_error =1.0
mins 566 , noise_error =1.0
mins 567 , noise_error =0.9112903225806451
mins 568 , noise_error =0.8823529411764706
mins 569 , noise_error =0.9823008849557522
mins 570 , noise_error =1.0
mins 571 , noise_error =1.0
mins 572 , noise_error =1.0
mins 573 , noise_error =1.0
mins 574 , noise_error =0.9743589743589743
mins 575 , noise_error =0.908256880733945
mins 576 , noise_error =0.9607843137254902
mins 577 , noise_error =0.9580838323353293
mins 578 , noise_error =0.9940119760479041
mins 579 , noise_error =0.9532163742690059
mins 580 , noise_error =0.9239766081871346
mins 581 , noise_error =0.9329268292682926
mins 582 , noise_error =0.9349112426035503
mins 583 , noise_error =0.9132947976878613
mins 584 , noise_error =0.993421052631579
mins 585 , noise_error =1.0
mins 586 , noise_error =0.984
mins 587 , noise_error =0.823943661971831
mins 588 , noise_error =0.9281437125748503
mins 589 , noise_error =0.9426751592356688
mins 590 , noise_error =0.9751552795031055
mins 591 , noise_error =0.8727272727272728
mins 592 , noise_error =0.9821428571428571
mins 593 , noise_error =0.9884393063583815
mins 594 , noise_error =0.9265536723163842
mins 595 , noise_error =0.9878787878787879
mins 596 , noise_error =0.9797297297297297
mins 597 , noise_error =0.9863945578231292
mins 598 , noise_error =0.9655172413793104
mins 599 , noise_error =0.9852941176470589
